City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Helena,1,US,1627922431,53,46.5927,-112.0361,87.24,3.0
Tura,79,IN,1627922410,98,25.5198,90.2201,74.55,4.7
Yellowknife,40,CA,1627922431,57,62.456,-114.3525,75.72,10.36
Aklavik,75,CA,1627922432,82,68.2191,-135.0107,62.6,3.44
Kupang,95,ID,1627922432,87,-10.1667,123.5833,76.26,9.48
Kumul,0,CN,1627922432,20,42.8,93.45,81.45,3.02
Hirado,76,JP,1627922433,84,33.3597,129.5531,83.35,1.63
Talaya,86,RU,1627922433,93,61.3833,152.75,35.73,4.72
Hithadhoo,95,MV,1627922317,75,-0.6,73.0833,80.78,5.39
Kutoarjo,97,ID,1627922433,92,-7.7169,109.9128,73.89,3.31
Mahébourg,20,MU,1627922434,82,-20.4081,57.7,67.24,6.91
Havre-St-Pierre,1,CA,1627922434,64,50.2334,-63.5986,68.36,11.5
Bambous Virieux,20,MU,1627922434,82,-20.3428,57.7575,67.21,6.91
Tsaitien,1,CN,1627922435,79,30.5833,114.0333,84.33,7.31
Port Elizabeth,90,ZA,1627922435,77,-33.918,25.5701,59.29,12.66
Almere Stad,59,NL,1627922278,61,52.3703,5.2141,68.25,1.01
Narsaq,100,GL,1627922435,80,60.9167,-46.05,53.82,1.77
Noumea,2,NC,1627922436,77,-22.2763,166.4572,55.38,4.47
Bandar-e Lengeh,4,IR,1627922436,75,26.5579,54.8807,95.11,6.91
Novo Aripuanã,42,BR,1627922436,28,-5.1206,-60.3797,96.39,4.38
Xining,100,CN,1627922437,88,36.6167,101.7667,58.71,4.94
Praia da Vitória,75,PT,1627922423,83,38.7333,-27.0667,75.45,8.57
George Town,20,MY,1627922437,80,5.4112,100.3354,84.13,2.3
Avarua,90,CK,1627922437,89,-21.2078,-159.775,78.85,16.11
Katsuura,90,JP,1627922438,91,35.1333,140.3,80.71,10.36
Zyryanovsk,0,KZ,1627922438,69,49.7386,84.2719,63.68,1.92
Hermanus,0,ZA,1627922439,87,-34.4187,19.2345,58.8,9.19
Tadine,7,NC,1627922439,73,-21.55,167.8833,65.01,9.31
Tarakan,75,ID,1627922439,94,3.3,117.6333,78.3,17.27
Marsh Harbour,100,BS,1627922439,72,26.5412,-77.0636,84.94,11.07
Biak,66,ID,1627922297,85,-0.9131,122.8766,75.81,7.2
Nanortalik,91,GL,1627922440,85,60.1432,-45.2371,46.92,2.68
Capaci,0,IT,1627922440,76,38.1711,13.2393,96.51,5.01
Oodweyne,65,SO,1627922441,53,9.4092,45.064,74.53,19.06
Taunggyi,100,MM,1627922441,96,20.7833,97.0333,64.49,3.91
Beringovskiy,100,RU,1627922441,95,63.05,179.3167,42.82,30.58
Stornoway,20,GB,1627922441,63,58.2093,-6.3865,58.96,10.36
St Austell,40,GB,1627922442,82,50.3383,-4.7658,66.43,13.8
Tasiilaq,100,GL,1627922442,81,65.6145,-37.6368,46.56,2.46
Clarence Town,88,AU,1627922442,95,-32.5833,151.7833,59.95,3.31
Bengkulu,50,ID,1627922443,90,-3.8004,102.2655,75.33,3.04
Butaritari,73,KI,1627922443,73,3.0707,172.7902,82.58,8.5
Atuona,41,PF,1627922443,77,-9.8,-139.0333,77.27,17.74
Lagoa,0,PT,1627922444,86,39.05,-27.9833,72.55,7.09
Talara,0,PE,1627922444,68,-4.5772,-81.2719,74.16,20.71
Yulara,0,AU,1627922444,45,-25.2406,130.9889,40.84,8.05
Tuktoyaktuk,90,CA,1627922444,87,69.4541,-133.0374,53.6,8.05
Cape Girardeau,0,US,1627922445,60,37.3834,-89.7168,78.58,6.55
Chifeng,98,CN,1627922404,90,42.2683,118.9636,65.16,2.08
Cayenne,40,GF,1627922445,72,4.9333,-52.3333,87.1,5.01
Zyryanka,13,RU,1627922445,74,65.75,150.85,36.82,4.59
Carnarvon,0,AU,1627922446,42,-24.8667,113.6333,50.07,11.5
Fairbanks,1,US,1627922214,72,64.8378,-147.7164,70.83,3.44
Mildura,7,AU,1627922446,87,-34.2,142.15,46.36,9.22
Qaqortoq,100,GL,1627922446,87,60.7167,-46.0333,54.1,3.02
Shache,78,CN,1627922447,48,38.4167,77.2406,66.9,2.93
Namatanai,16,PG,1627922447,84,-3.6667,152.4333,78.22,7.05
Mataura,100,NZ,1627922259,96,-46.1927,168.8643,44.47,3.47
Bereda,41,ES,1627922447,64,43.2686,-7.5406,72.41,7.34
Rabo de Peixe,20,PT,1627922448,60,37.8,-25.5833,74.71,8.05
Alofi,75,NU,1627922448,73,-19.0595,-169.9187,73.29,10.36
Kurchum,2,KZ,1627922448,35,48.5722,83.6542,72.39,3.94
Talnakh,96,RU,1627922449,54,69.4865,88.3972,66.18,3.76
Cap Malheureux,0,MU,1627922449,65,-19.9842,57.6142,67.46,5.01
Caldwell,1,US,1627922449,70,43.6629,-116.6874,83.46,4.61
Egvekinot,100,RU,1627922450,83,66.3167,-179.1667,32.07,19.77
Raudeberg,21,NO,1627922450,73,61.9875,5.1352,62.2,23.8
Clyde River,75,CA,1627922224,76,70.4692,-68.5914,46.63,13.8
Kautokeino,7,NO,1627922386,50,69.0125,23.0412,51.66,15.95
Góra Kalwaria,83,PL,1627922450,65,51.9765,21.2154,72.72,9.04
Isangel,15,VU,1627922451,65,-19.55,169.2667,67.98,12.97
Dawei,100,MM,1627922451,96,14.0833,98.2,76.26,6.38
Lata,80,PT,1627922451,60,40.1629,-8.3327,84.04,10.67
Kang,0,BW,1627922452,15,-23.6752,22.7876,60.6,4.99
Anchorage,1,US,1627922178,83,61.2181,-149.9003,62.28,3.0
Brewster,1,US,1627922452,66,41.3973,-73.6171,77.45,1.01
Champerico,90,GT,1627922274,71,14.3,-91.9167,93.76,4.65
Port-Gentil,90,GA,1627922452,73,-0.7193,8.7815,78.76,9.22
Al Bardīyah,0,LY,1627922453,58,31.7561,25.0865,85.8,16.75
Tezpur,43,IN,1627922453,90,26.6333,92.8,80.74,2.37
Manono,5,CD,1627922453,27,-7.3,27.4167,82.15,2.06
Ilulissat,75,GL,1627922452,39,69.2167,-51.1,60.82,11.5
Kahului,40,US,1627922454,84,20.8947,-156.47,77.85,16.11
Waingapu,76,ID,1627922454,86,-9.6567,120.2641,75.42,8.32
Iaçu,100,BR,1627922454,64,-12.7672,-40.2117,70.81,7.58
Charleroi,40,BE,1627922455,65,50.413,4.4465,69.51,4.61
Gerāsh,8,IR,1627922455,20,27.6652,54.1371,98.74,4.32
Arraial do Cabo,20,BR,1627922455,68,-22.9661,-42.0278,80.56,17.27
Vestmannaeyjar,20,IS,1627922456,76,63.4427,-20.2734,56.39,6.91
Şahbuz,78,AZ,1627922456,40,39.4072,45.5739,76.6,7.0
Ténenkou,79,ML,1627922456,43,14.4572,-4.9169,91.98,14.58
Cidreira,19,BR,1627922456,68,-30.1811,-50.2056,60.66,9.46
Jhunjhunūn,95,IN,1627922457,66,28.1307,75.4014,87.03,6.89
Los Llanos de Aridane,20,ES,1627922457,77,28.6585,-17.9182,73.15,13.8
Bindi,95,SL,1627922457,93,9.9167,-11.45,76.15,5.99
Buraidah,2,SA,1627922458,7,26.326,43.975,102.65,5.77
Oga,67,IT,1627922458,75,46.4631,10.347,59.81,3.11
Suicheng,1,CN,1627922458,96,33.8963,117.9331,75.11,6.08
Hasaki,99,JP,1627922302,92,35.7333,140.8333,79.09,10.6
Touros,47,BR,1627922459,63,-5.1989,-35.4608,83.3,21.32
Marabu,40,MY,1627922294,94,4.4148,114.0089,77.14,3.44
Airai,63,TL,1627922246,79,-8.9266,125.4092,56.59,2.82
Mayumba,31,GA,1627922459,81,-3.432,10.6554,75.47,7.67
Iracoubo,61,GF,1627922459,64,5.4802,-53.2011,85.17,8.88
Prince George,1,CA,1627922460,77,53.9166,-122.753,69.24,9.22
Vilhena,0,BR,1627922460,30,-12.7406,-60.1458,82.62,14.97
Straumen,89,NO,1627922460,60,63.8709,11.2999,59.61,8.81
Ribeira Grande,40,PT,1627922460,78,38.5167,-28.7,77.4,8.05
Burnie,99,AU,1627922198,87,-41.0667,145.9167,48.2,5.79
Ol'ga,100,RU,1627922461,96,43.7444,135.2892,66.52,2.3
Nurmijärvi,0,FI,1627922461,59,60.4641,24.8073,68.31,8.05
Trairi,6,BR,1627922228,46,-3.2778,-39.2689,88.02,12.97
Usinsk,44,RU,1627922462,70,65.9939,57.5281,58.69,7.18
Nago,66,JP,1627922462,87,26.5881,127.9761,82.83,13.06
Sitka,75,US,1627922462,77,57.0531,-135.33,62.49,3.44
San Patricio,67,US,1627922463,41,28.017,-97.5169,92.88,5.3
Harper,59,LR,1627922463,68,4.375,-7.7169,80.04,8.28
Hervey Bay,2,AU,1627922463,90,-25.2986,152.8535,62.71,9.71
Thinadhoo,98,MV,1627922464,69,0.5333,72.9333,82.56,2.93
Barrancas,93,CO,1627922390,50,10.9576,-72.7877,92.34,4.07
Kearney,20,US,1627922464,56,40.6995,-99.0815,77.92,5.75
Kuytun,100,RU,1627922464,95,54.3419,101.5036,53.55,5.77
Parakan,38,ID,1627922465,95,-6.4191,106.0081,72.64,1.5
Upernavik,1,GL,1627922465,66,72.7868,-56.1549,46.11,5.55
Birao,86,CF,1627922465,93,10.2849,22.7882,71.19,4.7
Grand Island,1,US,1627922397,47,40.925,-98.342,74.98,5.75
Parker,100,US,1627922466,84,32.7668,-97.8003,79.25,4.0
Teluknaga,40,ID,1627922466,83,-6.0989,106.6381,81.61,4.61
Ahipara,9,NZ,1627922467,71,-35.1667,173.1667,54.12,24.34
Tari,100,NG,1627922467,70,12.4086,4.4914,82.15,10.71
Krasnoborsk,81,RU,1627922467,79,61.5598,45.934,64.8,2.95
Jesús Carranza,70,MX,1627922467,77,17.4333,-95.0333,84.2,8.5
Mount Gambier,75,AU,1627922468,100,-37.8333,140.7667,44.51,8.05
Chokurdakh,10,RU,1627922468,81,70.6333,147.9167,35.22,7.67
Fort Nelson,20,CA,1627922468,73,58.8053,-122.7002,69.39,2.3
Saldanha,0,ZA,1627922469,80,-33.0117,17.9442,58.33,9.55
Saint-Alexandre,18,FR,1627922469,35,44.2278,4.6214,83.93,11.79
Forsytheganj,61,BY,1627922470,81,52.6333,29.7333,64.33,14.32
Pacific Grove,90,US,1627922470,84,36.6177,-121.9166,68.29,5.01
Rabak,90,SD,1627922470,57,13.1809,32.74,84.29,14.54
Kilemary,66,RU,1627922471,77,56.7783,46.8659,71.22,8.3
Saint-Michel-des-Saints,24,CA,1627922471,40,46.6834,-73.9159,67.93,8.95
Potosí,40,BO,1627922471,47,-19.5836,-65.7531,52.66,8.05
Margate,69,GB,1627922471,66,51.3813,1.3862,65.97,1.99
Zeya,90,RU,1627922472,94,53.75,127.2667,55.4,3.96
Srednekolymsk,70,RU,1627922472,85,67.45,153.6833,37.17,6.29
Peterhead,89,GB,1627922472,73,57.5058,-1.7981,59.45,2.62
Kungurtug,96,RU,1627922473,95,50.5994,97.5228,46.06,1.23
Hofn,90,IS,1627922473,87,64.2539,-15.2082,53.62,10.36
Derbent,20,RU,1627922473,50,42.0678,48.2899,81.01,4.47
Adeje,20,ES,1627922473,58,28.1227,-16.726,78.1,8.01
Chopinzinho,0,BR,1627922474,42,-25.8558,-52.5233,66.78,5.17
Ibrā’,50,OM,1627922474,39,22.6906,58.5334,92.3,12.73
Pangnirtung,75,CA,1627922474,62,66.1451,-65.7125,57.2,4.61
Tautira,85,PF,1627922475,72,-17.7333,-149.15,73.0,15.23
Diego de Almagro,0,CL,1627922475,12,-26.3667,-70.05,78.66,7.0
Coyhaique,75,CL,1627922475,93,-45.5752,-72.0662,50.61,4.61
Lompoc,1,US,1627922476,76,34.6391,-120.4579,74.84,3.44
Oktyabr'skoye,75,RU,1627922476,94,43.0645,44.7417,69.94,6.71
Kambove,69,CD,1627922476,37,-10.8764,26.5969,65.41,1.81
Krasnoarmiys'k,1,UA,1627922476,42,48.282,37.1758,80.42,4.7
Safi,2,MA,1627922477,75,32.2994,-9.2372,72.23,18.75
Christchurch,75,NZ,1627922477,91,-43.5333,172.6333,48.0,5.01
Bontang,74,ID,1627922477,91,0.1333,117.5,77.02,8.68
Russell,75,US,1627922478,72,32.3502,-85.1999,87.91,2.3
Port Keats,55,AU,1627922478,77,-14.25,129.55,76.89,2.77
Ilebo,64,CD,1627922478,22,-4.3167,20.5833,82.53,1.25
Guerrero Negro,0,MX,1627922479,53,27.9769,-114.0611,80.64,6.55
Marystown,71,CA,1627922479,63,47.1666,-55.1483,66.15,9.42
Port Hardy,90,CA,1627922479,88,50.6996,-127.4199,59.18,2.3
Kruisfontein,49,ZA,1627922480,93,-34.0033,24.7314,55.89,9.33
Goderich,8,CA,1627922480,77,43.7501,-81.7165,74.03,6.91
Fukuechō,64,JP,1627922430,84,32.6881,128.8419,80.92,15.82
Balkanabat,50,TM,1627922412,18,39.5108,54.3671,91.76,7.02
Belle Fourche,63,US,1627922481,39,44.6714,-103.8522,88.9,6.73
Narón,50,ES,1627922386,70,43.5167,-8.1528,72.68,10.38
Hinton,100,CA,1627922481,63,53.4001,-117.5857,60.84,2.57
Makakilo City,75,US,1627922481,74,21.3469,-158.0858,75.69,6.91
Marzuq,30,YE,1627922482,46,14.4,46.4667,86.83,8.25
Korla,100,CN,1627922351,17,41.7597,86.1469,83.39,2.57
Sørland,98,NO,1627922482,71,67.667,12.6934,49.86,9.22
Gouré,100,NE,1627922482,54,13.9835,10.2704,85.01,12.06
Bowen,5,AU,1627922483,76,-20.0167,148.2333,50.22,4.21
Arlit,40,NE,1627922483,44,18.7369,7.3853,87.57,18.1
Yurino,75,RU,1627922483,80,56.2942,46.3039,81.72,3.49
Zavetnoye,3,RU,1627922483,20,47.1194,43.8903,90.59,5.93
Iqaluit,90,CA,1627922484,100,63.7506,-68.5145,46.13,4.61
Aktas,42,KZ,1627922484,40,49.7789,72.9608,67.75,9.44
Nara,90,JP,1627922484,94,34.6851,135.8049,82.26,4.36
Wuxue,74,CN,1627922485,85,29.8506,115.5525,77.34,2.3
Manokwari,12,ID,1627922485,80,-0.8667,134.0833,78.57,2.1
Esperanza,100,DO,1627922486,58,19.5847,-70.9849,90.3,7.0
Port Lincoln,92,AU,1627922486,67,-34.7333,135.8667,51.08,20.24
Ponferrada,41,ES,1627922486,43,42.5466,-6.5962,82.27,7.0
Tifton,40,US,1627922486,75,31.4505,-83.5085,91.29,3.44
Necochea,23,AR,1627922487,45,-38.5473,-58.7368,63.03,14.94
Kavaratti,100,IN,1627922487,76,10.5669,72.642,82.38,13.71
Yeppoon,2,AU,1627922442,90,-23.1333,150.7333,55.18,5.93
Oktyabr'skiy,86,RU,1627922488,40,54.4815,53.471,76.3,2.75
Kununurra,75,AU,1627922488,78,-15.7667,128.7333,73.38,3.44
Río Cuarto,0,AR,1627922420,34,-33.1307,-64.3499,62.37,16.11
Brae,100,GB,1627922488,71,60.3964,-1.353,53.51,6.53
Saint George,1,US,1627922488,39,37.1041,-113.5841,90.07,1.01
Kytmanovo,32,RU,1627922489,80,53.4593,85.4479,63.3,7.94
Lerwick,100,GB,1627922489,70,60.1545,-1.1494,53.6,6.69
Tokur,100,RU,1627922489,99,53.1333,132.9,47.03,4.14
Bubaque,100,GW,1627922490,86,11.2833,-15.8333,78.19,21.45
Madang,76,PG,1627922490,90,-5.2246,145.7966,77.63,3.47
Torit,67,SS,1627922490,73,4.4133,32.5678,71.71,2.84
Wajir,25,KE,1627922491,43,1.7471,40.0573,83.12,17.18
São João da Barra,8,BR,1627922491,65,-21.6403,-41.0511,75.29,10.85
Verrettes,100,HT,1627922491,56,19.05,-72.4667,92.79,4.05
Barra Patuca,96,HN,1627922492,83,15.8,-84.2833,82.94,10.94
Deyskoye,100,RU,1627922492,82,43.4755,44.1618,86.14,9.86
Kapit,63,MY,1627922492,96,2.0167,112.9333,73.11,0.98
Vieste,16,IT,1627922492,63,41.8825,16.175,86.5,7.9
The Pas,90,CA,1627922493,61,53.8251,-101.2541,77.02,8.7
Ormara,92,PK,1627922493,84,25.2088,64.6357,81.73,22.12
Juneau,90,US,1627922493,87,58.3019,-134.4197,62.83,12.66
Vysokogornyy,100,RU,1627922494,97,50.1167,139.15,61.77,3.6
Elizabeth City,40,US,1627922228,77,36.2946,-76.2511,83.01,13.8
Maniitsoq,100,GL,1627922412,86,65.4167,-52.9,48.2,8.12
Sambava,21,MG,1627922494,82,-14.2667,50.1667,71.85,10.71
Yorosso,90,ML,1627922495,60,12.3536,-4.7761,84.04,7.7
Codrington,100,AU,1627922495,94,-38.2667,141.9667,45.27,10.29
Karratha,0,AU,1627922495,21,-20.7377,116.8463,64.49,16.13
Mitsamiouli,13,KM,1627922495,71,-11.3847,43.2844,76.96,7.4
Basco,100,PH,1627922496,88,20.4487,121.9702,82.22,27.89
Agüimes,20,ES,1627922496,57,27.9054,-15.4461,77.67,32.21
Madhubani,74,IN,1627922496,86,26.3667,86.0833,81.9,5.82
Kiryat Gat,0,IL,1627922497,40,31.61,34.7642,91.4,9.17
Aasiaat,4,GL,1627922497,84,68.7098,-52.8699,43.12,13.71
Kon Tum,100,VN,1627922497,94,14.35,108.0,71.96,3.74
Palmer,40,US,1627922497,58,42.1584,-72.3287,76.89,3.0
Chunskiy,93,RU,1627922498,94,56.0815,99.6342,53.29,0.69
Vazante,3,BR,1627922498,31,-17.9869,-46.9078,79.97,4.63
Oyëk,100,RU,1627922498,97,52.5861,104.4556,59.38,12.3
Kashgar,20,CN,1627922499,68,39.4547,75.9797,72.27,11.18
Minden,20,DE,1627922499,52,52.2833,8.9167,70.03,10.36
Valdivia,54,CL,1627922499,61,-39.8142,-73.2459,42.89,2.55
Río Gallegos,0,AR,1627922500,37,-51.6226,-69.2181,48.25,18.41
Verkhnevilyuysk,85,RU,1627922500,49,63.4453,120.3167,60.24,5.97
Aras,40,ES,1627922500,32,42.5617,-2.356,79.21,1.14
Ambilobe,37,MG,1627922501,85,-13.2,49.05,70.63,3.44
Kāzerūn,6,IR,1627922501,18,29.6195,51.6541,91.89,3.69
Parkes,99,AU,1627922501,83,-33.1333,148.1833,52.36,1.01
Rome,1,US,1627922210,60,43.2128,-75.4557,74.12,1.01
Boende,93,CD,1627922501,50,-0.2167,20.8667,82.81,4.7
Samarai,53,PG,1627922502,80,-10.6167,150.6667,77.85,8.75
Gravdal,75,NO,1627922502,81,68.1214,13.5031,48.09,6.91
Berbera,29,SO,1627922502,38,10.4396,45.0143,93.7,23.58
Altamira,75,BR,1627922297,58,-3.2033,-52.2064,89.69,6.91
Garoowe,89,SO,1627922503,43,8.4054,48.4845,83.77,22.08
Jiaozuo,0,CN,1627922503,79,35.2397,113.2331,76.23,2.89
Henties Bay,0,NA,1627922503,64,-22.116,14.2845,71.85,3.0
Benguela,8,AO,1627922504,75,-12.5763,13.4055,74.08,5.08
Pathein,99,MM,1627922504,94,16.7833,94.7333,76.93,5.48
Wanning,100,CN,1627922504,82,18.8003,110.3967,80.8,7.34
Loandjili,54,CG,1627922505,81,-4.7561,11.8578,75.2,7.99
Rodolfo Sánchez Taboada,17,MX,1627922505,36,31.7167,-116.5667,89.19,9.19
Alyangula,6,AU,1627922505,100,-13.8483,136.4192,66.07,1.14
Santa Isabel,6,BR,1627922257,40,-23.3156,-46.2214,71.37,3.02
Mwinilunga,23,ZM,1627922281,37,-11.7358,24.4293,65.82,5.26
Mastic Beach,1,US,1627922506,62,40.7668,-72.8521,79.25,3.0
Half Moon Bay,90,US,1627922506,74,37.4636,-122.4286,72.05,1.01
Kudahuvadhoo,100,MV,1627922506,73,2.6708,72.8944,81.52,3.76
Dwārka,98,IN,1627922507,83,22.2394,68.9678,82.0,22.73
Raghunathpur,100,IN,1627922507,67,23.55,86.6667,81.64,10.09
Champagnole,50,FR,1627922507,64,46.7445,5.9135,70.18,3.71
Marrakesh,0,MA,1627922372,25,31.6315,-8.0083,91.47,6.91
Kansanshi,60,ZM,1627922508,40,-12.0951,26.4273,63.95,3.33
Northport,90,US,1627922508,94,33.229,-87.5772,82.89,8.05
Souillac,20,MU,1627922227,82,-20.5167,57.5167,67.35,6.91
Stokmarknes,75,NO,1627922508,93,68.5646,14.9108,51.49,6.91
Orange Walk District,48,BZ,1627922509,89,17.8333,-88.8333,87.66,4.74
Ostrovnoy,60,RU,1627922509,81,68.0531,39.5131,61.41,11.39
Nizhneangarsk,100,RU,1627922509,89,55.7833,109.55,53.47,3.6
Geraldton,5,AU,1627922225,93,-28.7667,114.6,46.81,9.22
Muros,37,ES,1627922510,52,42.7762,-9.0603,76.68,14.74
Ninghai,34,CN,1627922510,96,29.2892,121.4247,82.08,4.79
Barra de Tecoanapa,93,MX,1627922510,67,16.5167,-98.75,86.07,6.31
Ermelo,0,ZA,1627922511,51,-26.5333,29.9833,50.45,9.28
Tuatapere,100,NZ,1627922509,83,-46.1333,167.6833,44.82,5.61
Dalvik,96,IS,1627922511,86,65.9702,-18.5286,58.93,1.68
Paraná,0,AR,1627922466,40,-31.732,-60.5238,66.54,5.61
Ruwi,15,OM,1627922511,52,23.5996,58.5507,92.89,6.76
Srandakan,99,ID,1627922512,87,-7.9386,110.2506,76.64,11.07
Karligan,99,PH,1627922512,77,14.975,122.0456,82.53,12.68
Kīhei,40,US,1627922512,84,20.785,-156.4656,77.85,16.11
Pak Phanang,81,TH,1627922512,78,8.3511,100.202,83.07,9.48
Salalah,90,OM,1627922513,100,17.0151,54.0924,77.09,6.91
Port Blair,100,IN,1627922513,83,11.6667,92.75,81.99,18.75
Malmyzh,68,RU,1627922513,56,56.5205,50.6818,76.37,7.14
Conde,75,BR,1627922281,94,-7.2597,-34.9075,74.66,12.66
Dakar,40,SN,1627922514,94,14.6937,-17.4441,78.93,4.61
Amapá,10,BR,1627922514,40,1.0,-52.0,91.11,4.07
Baykal'sk,100,RU,1627922514,95,51.5058,104.1469,55.6,6.26
